company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date,estimated_revenue,capital_efficiency,monthly_burn,runway_months,burn_multiple,traction_index,rule_of_40,rule_of_40_norm,traction_index_norm,capital_efficiency_norm,burn_multiple_norm,runway_months_norm,investment_score,rank
Airstone Labs,Series D+,USA,,2511000.0,3.0,,operating,2013-01-01,2511000.0,1.0,69750.0,18.0,0.3333333333333333,16.877398368891967,75.0,75.0,16.877398368891967,100.0,100.0,75.0,69.22,53
mobli,Series D+,USA,web,86000000.0,7.0,2010.0,operating,2013-11-06,86000000.0,1.0,2388888.888888889,18.0,0.3333333333333333,16.274184452467058,75.0,75.0,16.274184452467058,100.0,100.0,75.0,69.07,54
Transcept Pharmaceuticals,Series C,USA,biotech,40000000.0,8.0,,operating,2007-03-08,32000000.0,0.8,1111111.111111111,18.0,0.4166666666666666,44.57085645344673,75.0,75.0,44.57085645344673,80.0,79.31034482758622,75.0,69.04,55
Blekko,Series D+,USA,search,60200000.0,14.0,2007.0,operating,2013-06-05,60200000.0,1.0,1672222.2222222222,18.0,0.3333333333333333,15.956230445498216,75.0,75.0,15.956230445498216,100.0,100.0,75.0,68.99,56
UFOstart AG,Series D+,DEU,software,1000000.0,3.0,2013.0,operating,2013-09-01,1000000.0,1.0,27777.777777777777,18.0,0.3333333333333333,15.82217259859659,75.0,75.0,15.82217259859659,100.0,100.0,75.0,68.96,57
Rover.com,Series D+,USA,web,15732536.0,5.0,2011.0,operating,2013-07-30,15732536.0,1.0,437014.8888888889,18.0,0.3333333333333333,15.815132279421606,75.0,75.0,15.815132279421606,100.0,100.0,75.0,68.95,58
Square,Series C,USA,mobile,340500000.0,28.0,2009.0,operating,2012-09-17,272400000.0,0.8,9458333.333333334,18.0,0.4166666666666667,43.77058596428729,75.0,75.0,43.77058596428729,80.0,79.31034482758619,75.0,68.84,59
Prosper,Series D+,USA,finance,119900000.0,15.0,2006.0,operating,2013-09-24,119900000.0,1.0,3330555.5555555555,18.0,0.3333333333333333,15.216729376512292,75.0,75.0,15.216729376512292,100.0,100.0,75.0,68.8,60
The Learning Lab,Series D+,GBR,education,454575.0,3.0,,operating,2013-07-29,454575.0,1.0,12627.083333333334,18.0,0.3333333333333333,14.918567695766493,75.0,75.0,14.918567695766493,100.0,100.0,75.0,68.73,61
Sagurao Resources,Series D+,CAN,manufacturing,315000000.0,2.0,,operating,2013-09-25,315000000.0,1.0,8750000.0,18.0,0.3333333333333333,14.939508291676685,75.0,75.0,14.939508291676685,100.0,100.0,75.0,68.73,62
Rostelecom,Series D+,RUS,mobile,237000000.0,2.0,,operating,2013-10-11,237000000.0,1.0,6583333.333333333,18.0,0.3333333333333333,14.722114939444513,75.0,75.0,14.722114939444513,100.0,100.0,75.0,68.68,63
BRIVAS LABS,Series D+,USA,enterprise,350000.0,3.0,2012.0,operating,2013-11-26,350000.0,1.0,9722.222222222224,18.0,0.3333333333333333,14.618933622743906,75.0,75.0,14.618933622743906,100.0,100.0,75.0,68.65,64
Sungevity,Series D+,USA,cleantech,175500000.0,10.0,2008.0,operating,2013-07-03,175500000.0,1.0,4875000.0,18.0,0.3333333333333333,14.492565973562648,75.0,75.0,14.492565973562648,100.0,100.0,75.0,68.62,65
Precision for Medicine,Series D+,USA,medical,150000000.0,4.0,2011.0,operating,2013-04-02,150000000.0,1.0,4166666.6666666665,18.0,0.3333333333333333,14.37260086994221,75.0,75.0,14.37260086994221,100.0,100.0,75.0,68.59,66
Foodist,Series D+,DEU,ecommerce,225155.0,3.0,2012.0,operating,2013-05-28,225155.0,1.0,6254.305555555556,18.0,0.3333333333333333,14.113322468834404,75.0,75.0,14.113322468834404,100.0,100.0,75.0,68.53,67
ACADIA Pharmaceuticals,Series D+,USA,biotech,101385000.0,2.0,,ipo,2013-01-02,101385000.0,1.0,2816250.0,18.0,0.3333333333333333,14.073298794446904,75.0,75.0,14.073298794446904,100.0,100.0,75.0,68.52,68
Portola Pharmaceuticals,Series D+,USA,biotech,97999999.0,2.0,,ipo,2011-12-07,97999999.0,1.0,2722222.1944444445,18.0,0.3333333333333333,14.047352045014664,75.0,75.0,14.047352045014664,100.0,100.0,75.0,68.51,69
Biodel,Series D+,USA,biotech,48500002.0,2.0,,ipo,2012-06-29,48500002.0,1.0,1347222.2777777778,18.0,0.3333333333333333,13.50988787671267,75.0,75.0,13.50988787671267,100.0,100.0,75.0,68.38,70
Cleveland HeartLab,Series D+,USA,biotech,33100000.0,2.0,,operating,2012-10-31,33100000.0,1.0,919444.4444444444,18.0,0.3333333333333333,13.217981882875854,75.0,75.0,13.217981882875854,100.0,100.0,75.0,68.3,71
Ausra,Series C,USA,cleantech,123300000.0,7.0,,closed,2009-04-22,98640000.0,0.8,3425000.0,18.0,0.4166666666666667,41.50678803346874,75.0,75.0,41.50678803346874,80.0,79.31034482758619,75.0,68.27,72
Innate Pharma,Series D+,FRA,biotech,26117980.0,2.0,,operating,2013-11-20,26117980.0,1.0,725499.4444444445,18.0,0.3333333333333333,13.036961678588298,75.0,75.0,13.036961678588298,100.0,100.0,75.0,68.26,73
Songza,Series D+,USA,music,6700000.0,13.0,2007.0,acquired,2013-09-10,6700000.0,1.0,186111.11111111112,18.0,0.3333333333333333,12.998210870455074,75.0,75.0,12.998210870455074,100.0,100.0,75.0,68.25,74
Mobly,Series D+,BRA,ecommerce,20000000.0,4.0,2011.0,operating,2013-04-30,20000000.0,1.0,555555.5555555555,18.0,0.3333333333333333,12.833032219657772,75.0,75.0,12.833032219657772,100.0,100.0,75.0,68.21,75
Within3,Series D+,USA,health,20000000.0,2.0,,operating,2012-12-20,20000000.0,1.0,555555.5555555555,18.0,0.3333333333333333,12.833032219657772,75.0,75.0,12.833032219657772,100.0,100.0,75.0,68.21,76
Quotient Biodiagnostics,Series D+,USA,biotech,16200000.0,2.0,,operating,2013-02-26,16200000.0,1.0,450000.0,18.0,0.3333333333333333,12.672022240288207,75.0,75.0,12.672022240288207,100.0,100.0,75.0,68.17,77
Sentons,Series D+,USA,semiconductor,14200001.0,2.0,,operating,2013-01-09,14200001.0,1.0,394444.4722222223,18.0,0.3333333333333333,12.57133861510977,75.0,75.0,12.57133861510977,100.0,100.0,75.0,68.14,78
Ignis IT Solutions,Series D+,IND,software,50000.0,3.0,2013.0,operating,2013-08-09,50000.0,1.0,1388.888888888889,18.0,0.3333333333333333,12.388655864053362,75.0,75.0,12.388655864053362,100.0,100.0,75.0,68.1,79
Transition Therapeutics,Series D+,CAN,biotech,11000000.0,2.0,,ipo,2013-08-16,11000000.0,1.0,305555.5555555556,18.0,0.3333333333333333,12.376230529968648,75.0,75.0,12.376230529968648,100.0,100.0,75.0,68.09,80
Spreetales,Series D+,,,10000000.0,2.0,,operating,2012-07-01,10000000.0,1.0,277777.7777777777,18.0,0.3333333333333333,12.303404908395944,75.0,75.0,12.303404908395944,100.0,100.0,75.0,68.08,81
Portea Medical,Series D+,IND,,8000000.0,2.0,,operating,2013-12-02,8000000.0,1.0,222222.22222222225,18.0,0.3333333333333333,12.132902997081109,75.0,75.0,12.132902997081109,100.0,100.0,75.0,68.03,82
Ception Therapeutics,Series C,USA,biotech,77700000.0,7.0,,acquired,2007-05-31,62160000.0,0.8,2158333.333333333,18.0,0.4166666666666667,40.477699201288885,75.0,75.0,40.477699201288885,80.0,79.31034482758619,75.0,68.02,83
PowerVision,Series C,USA,medical,77000000.0,7.0,,operating,2012-01-23,61600000.0,0.8,2138888.888888889,18.0,0.4166666666666667,40.45753075719949,75.0,75.0,40.45753075719949,80.0,79.31034482758619,75.0,68.01,84
Uber,Series C,USA,transportation,307450000.0,26.0,2009.0,operating,2013-08-23,245960000.0,0.8,8540277.777777778,18.0,0.4166666666666667,40.431945765630914,75.0,75.0,40.431945765630914,80.0,79.31034482758619,75.0,68.0,85
Ebury Partners,Series D+,GBR,finance,5303380.0,2.0,,operating,2013-09-22,5303380.0,1.0,147316.11111111112,18.0,0.3333333333333333,11.818787460381182,75.0,75.0,11.818787460381182,100.0,100.0,75.0,67.95,86
Inari Medical,Series D+,USA,health,4710000.0,2.0,,operating,2013-10-07,4710000.0,1.0,130833.33333333331,18.0,0.3333333333333333,11.728123174712966,75.0,75.0,11.728123174712966,100.0,100.0,75.0,67.93,87
CureTech,Series D+,ISR,biotech,4000000.0,2.0,,operating,2013-09-17,4000000.0,1.0,111111.11111111112,18.0,0.3333333333333333,11.60327568581928,75.0,75.0,11.60327568581928,100.0,100.0,75.0,67.9,88
Quantenna Communications,Series D+,USA,semiconductor,228991416.0,11.0,2006.0,operating,2012-04-24,228991416.0,1.0,6360872.666666667,18.0,0.3333333333333333,11.544106520102368,75.0,75.0,11.544106520102368,100.0,100.0,75.0,67.89,89
Galazar,Series C,,semiconductor,6600000.0,8.0,,acquired,2006-03-27,5280000.0,0.8,183333.3333333333,18.0,0.4166666666666667,39.98170276317448,75.0,75.0,39.98170276317448,80.0,79.31034482758619,75.0,67.89,90
Tetraphase Pharmaceuticals,Series C,USA,biotech,60000000.0,7.0,,operating,2010-06-01,48000000.0,0.8,1666666.6666666667,18.0,0.4166666666666667,39.90158281881993,75.0,75.0,39.90158281881993,80.0,79.31034482758619,75.0,67.87,91
DoubleDutch,Series C,USA,mobile,17400000.0,15.0,2011.0,operating,2013-09-25,13920000.0,0.8,483333.3333333333,18.0,0.4166666666666667,39.79679729607396,75.0,75.0,39.79679729607396,80.0,79.31034482758619,75.0,67.85,92
Fundation,Series D+,USA,finance,2728967.0,4.0,2011.0,operating,2013-11-29,2728967.0,1.0,75804.63888888889,18.0,0.3333333333333333,11.311109400658356,75.0,75.0,11.311109400658356,100.0,100.0,75.0,67.83,93
Genizon BioSciences,Series C,CAN,biotech,51251092.0,7.0,,operating,2008-01-01,41000873.6,0.8,1423641.4444444445,18.0,0.4166666666666667,39.550338775744265,75.0,75.0,39.550338775744265,80.0,79.31034482758619,75.0,67.78,94
Anulex,Series C,USA,biotech,48500000.0,7.0,,operating,2010-06-07,38800000.0,0.8,1347222.2222222222,18.0,0.4166666666666667,39.42738006251478,75.0,75.0,39.42738006251478,80.0,79.31034482758619,75.0,67.75,95
Sweetspot Intelligence,Series D+,USA,software,1286600.0,2.0,2012.0,operating,2013-10-20,1286600.0,1.0,35738.88888888889,18.0,0.3333333333333333,10.736574271951117,75.0,75.0,10.736574271951117,100.0,100.0,75.0,67.68,96
Sand9,Series C,USA,,42000000.0,7.0,,operating,2012-09-01,33600000.0,0.8,1166666.6666666667,18.0,0.4166666666666667,39.10669780139782,75.0,75.0,39.10669780139782,80.0,79.31034482758619,75.0,67.67,97
LivingSocial,Series D+,USA,ecommerce,924499965.0,8.0,2007.0,operating,2013-02-20,924499965.0,1.0,25680554.58333333,18.0,0.3333333333333333,10.504032495939237,75.0,75.0,10.504032495939237,100.0,100.0,75.0,67.63,98
Xanodyne,Series C,USA,biotech,38000000.0,7.0,,operating,2009-06-23,30400000.0,0.8,1055555.5555555555,18.0,0.4166666666666666,38.88365201965546,75.0,75.0,38.88365201965546,80.0,79.31034482758622,75.0,67.62,99
BrightSource Energy,Series D+,USA,cleantech,845000000.0,12.0,2004.0,ipo,2013-07-25,845000000.0,1.0,23472222.222222224,18.0,0.3333333333333333,10.458229646861364,75.0,75.0,10.458229646861364,100.0,100.0,75.0,67.61,100
